idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
646599,1784,115556,14,1,12,4,0,0,0.0,0.0,5,3,1,0,0,0,3,1731,53.0,483,0.0,0,19,de_inferno,0,7.0,3.0,0.0,5.0,28.0,10.0,3.0,7.0,0.0,0.0,1,2022-02-14 13:27:48,I
646624,1786,115582,11,2,20,4,1,1,0.0,1.0,5,3,0,0,0,0,0,1031,54.0,448,1.0,1,24,de_dust2,2,3.0,4.0,1.0,4.0,19.0,12.0,2.0,6.0,6.0,5.0,0,2022-02-14 13:27:48,I
646636,1787,115595,17,3,21,8,0,3,0.0,1.0,4,5,1,0,0,0,1,2326,64.0,451,1.0,1,26,de_mirage,10,4.0,1.0,1.0,11.0,29.0,10.0,1.0,9.0,2.0,2.0,0,2022-02-14 13:27:48,I
646703,1788,115664,20,3,21,7,1,0,0.0,0.0,8,4,0,1,0,0,1,2415,63.0,328,1.0,1,25,de_nuke,11,3.0,2.0,0.0,9.0,30.0,15.0,1.0,7.0,0.0,1.0,0,2022-02-14 13:27:48,I
646724,1789,115685,23,5,20,10,1,1,0.0,0.0,7,5,2,0,0,0,3,2939,64.0,383,0.0,0,26,de_inferno,9,6.0,5.0,0.0,11.0,36.0,8.0,3.0,3.0,1.0,2.0,1,2022-02-14 13:27:48,I
646743,1790,115705,12,2,18,6,0,1,0.0,0.0,4,4,0,0,0,0,2,1825,48.0,344,1.0,1,24,de_nuke,19,5.0,5.0,0.0,9.0,20.0,13.0,4.0,1.0,1.0,0.0,0,2022-02-14 13:27:48,I
646755,1792,115718,15,2,20,8,0,0,0.0,0.0,4,4,1,0,0,0,0,2013,52.0,321,5.0,1,22,de_nuke,8,3.0,1.0,0.0,8.0,25.0,14.0,2.0,2.0,0.0,1.0,0,2022-02-14 13:27:48,I
646758,1793,115721,15,4,18,9,0,3,0.0,0.0,3,1,3,0,0,0,1,2255,60.0,447,0.0,0,26,de_dust2,12,8.0,3.0,0.0,13.0,25.0,15.0,2.0,3.0,1.0,1.0,0,2022-02-14 13:27:48,I
990332,1794,115727,21,4,18,16,1,0,0.0,0.0,9,1,2,1,0,0,5,3112,81.0,598,8.0,1,26,de_overpass,9,17.0,3.0,1.0,16.0,44.0,7.0,0.0,7.0,2.0,5.0,1,2022-02-14 13:27:48,I
646773,1795,115737,26,4,19,9,0,0,0.0,1.0,9,5,1,1,0,0,2,3103,70.0,567,1.0,1,30,de_dust2,9,10.0,4.0,0.0,12.0,29.0,13.0,2.0,6.0,3.0,5.0,1,2022-02-14 13:27:48,I
646784,1796,115748,24,7,20,4,0,3,0.0,0.0,9,6,1,0,0,0,3,3382,92.0,585,2.0,2,29,de_mirage,14,7.0,5.0,0.0,5.0,40.0,22.0,3.0,6.0,11.0,5.0,1,2022-02-14 13:27:48,I
646981,1797,115949,19,3,13,9,0,4,0.0,0.0,7,4,0,1,0,0,2,2479,34.0,301,3.0,2,26,de_dust2,10,10.0,2.0,2.0,12.0,12.0,4.0,2.0,3.0,0.0,1.0,1,2022-02-14 13:27:48,I
990571,1798,115972,9,0,18,1,0,0,0.0,0.0,5,2,0,0,0,0,3,1119,28.0,293,1.0,0,21,de_inferno,12,2.0,1.0,0.0,2.0,14.0,5.0,2.0,4.0,0.0,1.0,0,2022-02-14 13:27:48,I
647020,1799,115989,10,3,21,0,0,0,0.0,0.0,8,1,0,0,0,0,2,1441,52.0,281,0.0,0,25,de_train,4,3.0,1.0,0.0,3.0,19.0,14.0,1.0,1.0,2.0,12.0,0,2022-02-14 13:27:48,I
647041,1800,116011,16,5,20,6,0,3,0.0,0.0,7,3,1,0,0,0,2,2397,56.0,456,0.0,0,25,de_mirage,10,5.0,3.0,0.0,9.0,21.0,10.0,3.0,8.0,2.0,3.0,1,2022-02-14 13:27:48,I
647060,1801,116031,12,3,22,5,0,2,0.0,0.0,12,0,0,0,0,0,5,1920,46.0,298,0.0,0,24,de_mirage,10,2.0,6.0,1.0,9.0,26.0,7.0,1.0,1.0,2.0,0.0,1,2022-02-14 13:27:48,I
647072,1802,116043,28,6,21,8,0,0,0.0,0.0,8,5,2,1,0,0,4,3419,68.0,382,0.0,0,28,de_overpass,15,7.0,5.0,1.0,10.0,32.0,16.0,1.0,5.0,2.0,2.0,0,2022-02-14 13:27:48,I
647090,1804,116062,16,7,23,6,0,1,0.0,0.0,12,2,0,0,0,0,3,2673,81.0,577,0.0,0,30,de_mirage,3,7.0,2.0,0.0,8.0,25.0,23.0,4.0,12.0,3.0,6.0,1,2022-02-14 13:27:48,I
647107,1805,116080,30,6,19,17,1,2,0.0,1.0,10,7,2,0,0,0,3,3843,78.0,1089,2.0,0,34,de_inferno,11,13.0,3.0,0.0,19.0,39.0,11.0,2.0,4.0,1.0,2.0,1,2022-02-14 13:27:48,I
647144,1806,116117,32,8,15,15,0,0,0.0,0.0,5,7,4,0,0,0,3,3765,95.0,444,0.0,0,24,de_mirage,16,9.0,2.0,0.0,16.0,46.0,19.0,2.0,5.0,2.0,5.0,1,2022-02-14 13:27:48,I
647165,1807,116139,11,9,20,3,0,3,0.0,1.0,4,2,1,0,0,0,0,2099,40.0,445,0.0,1,30,de_nuke,11,14.0,2.0,0.0,4.0,21.0,6.0,2.0,3.0,1.0,3.0,1,2022-02-14 13:27:48,I
647296,1808,116273,43,1,19,12,1,3,0.0,0.0,4,8,3,1,2,0,7,4862,110.0,487,2.0,2,30,de_inferno,16,9.0,0.0,0.0,12.0,58.0,26.0,5.0,3.0,1.0,5.0,0,2022-02-14 13:27:48,I
647452,1809,116434,25,2,20,9,0,0,0.0,0.0,6,5,0,1,1,0,0,3020,92.0,369,2.0,2,21,de_mirage,7,1.0,2.0,0.0,10.0,38.0,27.0,5.0,5.0,3.0,4.0,0,2022-02-14 13:27:48,I
647479,1810,116462,33,3,14,12,0,3,0.0,1.0,9,7,2,1,0,0,5,4032,112.0,479,0.0,0,28,de_inferno,13,14.0,0.0,2.0,15.0,52.0,27.0,2.0,9.0,3.0,4.0,1,2022-02-14 13:27:48,I
647500,1811,116483,25,2,12,8,0,4,0.0,0.0,10,6,1,0,0,0,4,3174,50.0,269,0.0,1,22,de_dust2,10,10.0,4.0,2.0,8.0,28.0,9.0,1.0,3.0,0.0,1.0,1,2022-02-14 13:27:48,I
647643,1812,116634,23,6,23,7,0,1,0.0,1.0,10,5,1,0,0,0,4,2849,87.0,563,1.0,0,36,de_mirage,11,12.0,2.0,0.0,7.0,49.0,21.0,2.0,4.0,3.0,1.0,0,2022-02-14 13:27:48,I
647746,1813,116740,32,0,25,20,0,0,0.0,0.0,13,5,3,0,0,0,9,3991,98.0,625,1.0,0,34,de_inferno,17,8.0,1.0,0.0,25.0,51.0,11.0,3.0,3.0,3.0,2.0,0,2022-02-14 13:27:48,I
647787,1814,116782,10,2,22,5,0,1,0.0,0.0,8,1,0,0,0,0,0,1380,43.0,253,0.0,0,23,de_inferno,0,1.0,6.0,0.0,7.0,15.0,10.0,0.0,4.0,3.0,4.0,0,2022-02-14 13:27:48,I
647794,1815,116789,20,3,22,10,0,2,0.0,0.0,6,4,2,0,0,0,2,2573,68.0,366,0.0,0,26,de_train,13,4.0,2.0,0.0,11.0,32.0,10.0,0.0,5.0,1.0,9.0,1,2022-02-14 13:27:48,I
647879,1816,116877,21,4,21,9,0,0,0.0,0.0,7,4,2,0,0,0,4,2949,92.0,489,0.0,0,25,de_inferno,20,4.0,4.0,0.0,10.0,55.0,17.0,0.0,7.0,1.0,2.0,0,2022-02-14 13:27:48,I
647948,1818,116949,24,4,25,9,1,2,0.0,0.0,8,2,4,0,0,0,3,3188,85.0,837,2.0,2,36,de_inferno,11,10.0,9.0,1.0,12.0,46.0,14.0,2.0,7.0,4.0,0.0,0,2022-02-14 13:27:48,I
648010,1819,117017,13,6,23,9,0,1,0.0,0.0,8,1,1,0,0,0,4,2029,55.0,462,0.0,0,27,de_inferno,19,3.0,3.0,1.0,13.0,26.0,9.0,0.0,6.0,1.0,0.0,0,2022-02-14 13:27:48,I
648182,1820,117194,19,7,16,9,1,0,0.0,0.0,6,5,1,0,0,0,3,2656,71.0,637,0.0,0,27,de_inferno,11,11.0,1.0,1.0,10.0,33.0,19.0,0.0,6.0,0.0,3.0,1,2022-02-14 13:27:48,I
648514,1821,117544,23,1,15,10,0,0,0.0,0.0,5,6,2,0,0,0,4,2792,70.0,339,1.0,1,23,de_mirage,16,7.0,4.0,0.0,11.0,37.0,14.0,0.0,5.0,3.0,0.0,1,2022-02-14 13:27:48,I
648606,1822,117639,29,5,21,13,1,2,1.0,3.0,10,4,1,2,0,0,2,3583,75.0,566,0.0,1,30,de_mirage,9,9.0,5.0,1.0,16.0,19.0,21.0,1.0,8.0,4.0,6.0,0,2022-02-14 13:27:48,I
